t,meter_12,meter_4
2015-07-01 06:05:00,14101.1,10516.9
2015-07-01 06:06:00,14020.5,9616.87
2015-07-01 06:07:00,13761.9,9385.33
2015-07-01 06:08:00,7348.61,-261.701
2015-07-01 06:09:00,7192.87,-927.377
2015-07-01 06:10:00,7293.02,4116.72
2015-07-01 06:11:00,10309.1,3814.08
2015-07-01 06:12:00,10462.7,4027.67
2015-07-01 06:13:00,10208.6,-1050.82
2015-07-01 06:14:00,10270.5,-975.806
2015-07-01 06:15:00,10177.2,-995.816
2015-07-01 06:16:00,10535.4,-415.964
2015-07-01 06:17:00,10385.9,5874.0
2015-07-01 06:18:00,10429.0,5836.34
2015-07-01 06:19:00,10501.1,5848.27
2015-07-01 06:20:00,10134.2,5486.58
2015-07-01 06:21:00,396.603,5556.64
2015-07-01 06:22:00,280.685,-1023.12
2015-07-01 06:23:00,435.16,-703.924
2015-07-01 06:24:00,240.943,-1086.08
2015-07-01 06:25:00,427.806,-442.921
2015-07-01 06:26:00,516.531,-706.428
2015-07-01 06:27:00,390.23,-722.677
2015-07-01 06:28:00,547.869,-749.257
2015-07-01 06:29:00,1186.47,624.404
2015-07-01 06:30:00,664.814,3831.52
2015-07-01 06:31:00,519.799,3776.91
2015-07-01 06:32:00,759.908,-932.782
2015-07-01 06:33:00,7019.58,-1326.71
2015-07-01 06:34:00,16867.6,-1456.73
2015-07-01 06:35:00,16583.6,-1801.96
2015-07-01 06:36:00,16682.9,-1802.12
2015-07-01 06:37:00,16740.2,-1699.37
2015-07-01 06:38:00,16611.0,-2008.08
2015-07-01 06:39:00,16534.0,-2104.75
2015-07-01 06:40:00,10159.0,4671.66
2015-07-01 06:41:00,10184.9,4586.72
2015-07-01 06:42:00,10343.9,4754.58
2015-07-01 06:43:00,662.184,4707.04
2015-07-01 06:44:00,885.674,461.593
2015-07-01 06:45:00,729.404,-1740.59
2015-07-01 06:46:00,885.061,-1994.74
2015-07-01 06:47:00,2048.74,-49.9663
2015-07-01 06:48:00,3825.99,2324.47
2015-07-01 06:49:00,3655.6,2002.92
2015-07-01 06:50:00,3270.84,1472.33
2015-07-01 06:51:00,2599.64,655.775
2015-07-01 06:52:00,2747.75,774.205
2015-07-01 06:53:00,1564.62,-1213.18
2015-07-01 06:54:00,894.496,-2413.42
2015-07-01 06:55:00,766.521,-2559.13
2015-07-01 06:56:00,1085.95,2350.24
2015-07-01 06:57:00,1178.05,2467.05
2015-07-01 06:58:00,1660.0,-1228.55
2015-07-01 06:59:00,1029.67,-2351.41
2015-07-01 07:00:00,2143.1,-1268.32
2015-07-01 07:01:00,2596.32,-888.967
2015-07-01 07:02:00,1586.0,-2101.56
2015-07-01 07:03:00,1351.58,-2237.6
2015-07-01 07:04:00,778.224,-3283.17
2015-07-01 07:05:00,732.442,-3384.04
2015-07-01 07:06:00,726.301,-3261.57
2015-07-01 07:07:00,689.922,-3537.89
2015-07-01 07:08:00,1246.85,-2546.44
2015-07-01 07:09:00,599.454,-3670.83
2015-07-01 07:10:00,614.206,-3594.95
2015-07-01 07:11:00,752.032,-3433.89
2015-07-01 07:12:00,662.506,-3591.62
2015-07-01 07:13:00,1146.49,-2927.05
2015-07-01 07:14:00,540.83,-3936.09
2015-07-01 07:15:00,229.107,-4708.94
2015-07-01 07:16:00,10.1849,-4985.16
